date,roll_yield,near_by,deferred
2018-03-05,0.08199529320703294,TA805,TA809
2018-03-06,0.06937940598281651,TA805,TA809
2018-03-07,0.053117534947364195,TA805,TA809
2018-03-08,0.05135646099534197,TA805,TA809
2018-03-09,0.04330641783524299,TA805,TA809
2018-03-12,0.03686349238107976,TA805,TA809
2018-03-13,0.036677911013597776,TA805,TA809
2018-03-14,0.01406168069327058,TA805,TA809
2018-03-15,0.04003666274316607,TA805,TA809
2018-03-16,0.02717902264356002,TA805,TA809
2018-03-19,0.022747897402190125,TA805,TA809
2018-03-20,0.022896712999354935,TA805,TA809
2018-03-21,0.0196079129393566,TA805,TA809
2018-03-22,-0.011847080554918451,TA805,TA809
2018-03-23,0.0010922993020724605,TA805,TA809
2018-03-26,-0.003267380972825714,TA805,TA809
2018-03-27,-0.0010982976509269589,TA805,TA809
2018-03-28,0.008852828261203777,TA805,TA809
2018-03-29,0.0011133791183649065,TA805,TA809
2018-03-30,0.0033130870291596826,TA805,TA809
2018-04-02,0.0077021865157372,TA805,TA809
2018-04-03,0.002200220120624261,TA805,TA809
2018-04-04,0.014415108126844618,TA805,TA809
2018-04-09,0.006688965981807205,TA805,TA809
2018-04-10,-0.006634724414520463,TA805,TA809
2018-04-11,-0.00660066272880727,TA805,TA809
2018-04-12,-0.00878156499702187,TA805,TA809
2018-04-13,-0.00110071547740036,TA805,TA809
2018-04-16,0.0,TA805,TA809
2018-04-17,0.0010911074861139868,TA805,TA809
2018-04-18,-0.0010844026866672434,TA805,TA809
2018-04-19,-0.002138275215257459,TA805,TA809
2018-04-20,-0.003229858557090381,TA805,TA809
2018-04-23,0.019227362012257058,TA807,TA809
2018-04-24,0.025586392718745108,TA807,TA809
2018-04-25,0.02779267395936951,TA807,TA809
2018-04-26,0.032194675706242605,TA807,TA809
2018-04-27,0.03431031508196941,TA807,TA809
2018-05-02,0.019152348236051782,TA807,TA809
2018-05-03,0.025568220509807366,TA807,TA809
2018-05-04,0.008547009992311326,TA807,TA809
2018-05-07,0.02540582483273031,TA807,TA809
2018-05-08,0.021126782391473763,TA807,TA809
2018-05-09,0.01692525804984758,TA807,TA809
2018-05-10,0.012539189516755419,TA807,TA809
2018-05-11,0.028925675857636855,TA807,TA809
2018-05-14,0.024801964355106933,TA807,TA809
2018-05-15,0.02660758240719465,TA807,TA809
2018-05-16,0.022529468355166553,TA807,TA809
2018-05-17,0.030774558832924334,TA807,TA809
2018-05-18,0.026726102096282248,TA807,TA809
2018-05-21,0.018408059436534695,TA807,TA809
2018-05-22,0.016551734634477965,TA807,TA809
2018-05-23,0.008301627059399234,TA807,TA809
2018-05-24,0.01659752095734066,TA807,TA809
2018-05-25,0.0165289360730681,TA807,TA809
2018-05-28,0.023161987001874846,TA807,TA809
2018-05-29,0.025236630265645175,TA807,TA809
2018-05-30,0.01686578763390137,TA807,TA809
2018-05-31,0.031485116852671025,TA807,TA809
2018-06-01,0.018861396393999273,TA809,TA901
2018-06-04,0.022016523766328427,TA809,TA901
2018-06-05,0.017948320296538898,TA809,TA901
2018-06-06,0.013725169110041707,TA809,TA901
2018-06-07,0.015831171302531345,TA809,TA901
2018-06-08,0.014825303732336903,TA809,TA901
2018-06-11,0.013749363041149584,TA809,TA901
2018-06-12,0.01791050095951139,TA809,TA901
2018-06-13,0.014856768955399256,TA809,TA901
2018-06-14,0.02210924202278136,TA809,TA901
2018-06-15,0.0221714892668608,TA809,TA901
2018-06-19,0.01838837558085907,TA809,TA901
2018-06-20,0.02053692041004259,TA809,TA901
2018-06-21,0.020522132233163962,TA809,TA901
2018-06-22,0.027987285865555017,TA809,TA901
2018-06-25,0.034359717040507144,TA809,TA901
2018-06-26,0.0428731841148266,TA809,TA901
2018-06-27,0.04677039124399636,TA809,TA901
2018-06-28,0.04796765381335097,TA809,TA901
2018-06-29,0.0726679127275389,TA809,TA901
2018-07-02,0.06123720663665139,TA809,TA901
2018-07-03,0.07430720433722657,TA809,TA901
2018-07-04,0.06502921050711537,TA809,TA901
2018-07-05,0.06725579136951677,TA809,TA901
2018-07-06,0.06292133691481253,TA809,TA901
2018-07-09,0.07915484016745679,TA809,TA901
2018-07-10,0.074735139298178,TA809,TA901
2018-07-11,0.083381589603685,TA809,TA901
2018-07-12,0.07410325299229047,TA809,TA901
2018-07-13,0.05565257498694864,TA809,TA901
2018-07-16,0.06158273030336257,TA809,TA901
