date,roll_yield,near_by,deferred
2019-12-19,-0.03196796738441937,SR005,SR009
2019-12-20,-0.026783452017172582,SR005,SR009
2019-12-23,-0.023719899243155474,SR005,SR009
2019-12-24,-0.011581961255516327,SR005,SR009
2019-12-25,-0.013750138655423214,SR005,SR009
2019-12-26,-0.01706583187303768,SR005,SR009
2019-12-27,-0.010893258156121046,SR005,SR009
2019-12-30,-0.010695198493488434,SR005,SR009
2019-12-31,-0.010195877804420862,SR005,SR009
2020-01-02,-0.011813152905116935,SR005,SR009
2020-01-03,-0.016108862761072824,SR005,SR009
2020-01-06,-0.018259991926848042,SR005,SR009
2020-01-07,-0.011516328921497001,SR005,SR009
2020-01-08,-0.010462085581247133,SR005,SR009
2020-01-09,-0.009443869288794576,SR005,SR009
2020-01-10,-0.007246380334810675,SR005,SR009
2020-01-13,-0.012303503232643821,SR005,SR009
2020-01-14,-0.012257422567741063,SR005,SR009
2020-01-15,-0.011282064578674646,SR005,SR009
2020-01-16,-0.011241709628646212,SR005,SR009
2020-01-17,-0.0025643218930335963,SR005,SR009
2020-01-20,-0.004189944815163119,SR005,SR009
2020-01-21,-0.009493678808888819,SR005,SR009
2020-01-22,-0.005814467505987081,SR005,SR009
2020-01-23,-0.005864062284710449,SR005,SR009
2020-02-03,-0.009290471037223576,SR005,SR009
2020-02-04,-0.005277046215538874,SR005,SR009
2020-02-05,-0.002118644155850814,SR005,SR009
2020-02-06,0.0015615511760568774,SR005,SR009
2020-02-07,0.003639830587758148,SR005,SR009
2020-02-10,-0.008334785704975355,SR005,SR009
2020-02-11,-0.010454793644139409,SR005,SR009
2020-02-12,-0.010378837544470382,SR005,SR009
2020-02-13,-0.009884687690557455,SR005,SR009
2020-02-14,-0.012673843880334261,SR005,SR009
2020-02-17,-0.009313563879135645,SR005,SR009
2020-02-18,-0.017174129650681474,SR005,SR009
2020-02-19,-0.020275616559860293,SR005,SR009
2020-02-20,-0.015541392035739399,SR005,SR009
2020-02-21,-0.013478508934890776,SR005,SR009
2020-02-24,-0.008233281325474396,SR005,SR009
2020-02-25,-0.01134606819156081,SR005,SR009
2020-02-26,-0.01617535877953282,SR005,SR009
2020-02-27,-0.00940112189946745,SR005,SR009
2020-02-28,-0.009518781121732475,SR005,SR009
2020-03-02,-0.007295469984049813,SR005,SR009
2020-03-03,-0.012624952877361421,SR005,SR009
2020-03-04,-0.012651573837319022,SR005,SR009
2020-03-05,-0.009412592696259707,SR005,SR009
2020-03-06,-0.00785546403278273,SR005,SR009
2020-03-09,-0.004840011805400486,SR005,SR009
2020-03-10,-0.005298482479390957,SR005,SR009
2020-03-11,-0.0026621707310902753,SR005,SR009
2020-03-12,-0.002702459420654925,SR005,SR009
2020-03-13,0.011366725370874903,SR005,SR009
2020-03-16,0.030063110283115993,SR005,SR009
2020-03-17,0.02622967528718613,SR005,SR009
2020-03-18,0.0115437613804974,SR005,SR009
2020-03-19,0.026359312908044066,SR005,SR009
2020-03-20,0.01642040224251572,SR005,SR009
2020-03-23,0.013093310472779594,SR005,SR009
2020-03-24,0.0233802723927558,SR005,SR009
2020-03-25,0.017467298254299685,SR005,SR009
2020-03-26,0.025788910522547635,SR005,SR009
2020-03-27,0.025201024745259693,SR005,SR009
2020-03-30,0.011971719133988507,SR005,SR009
2020-03-31,0.014140707834522682,SR005,SR009
2020-04-01,0.029001899039782116,SR005,SR009
2020-04-02,0.03463725627811458,SR005,SR009
2020-04-03,0.08498518347253964,SR005,SR009
2020-04-07,0.057271686501578156,SR005,SR009
2020-04-08,0.050904946922564434,SR005,SR009
2020-04-09,0.05107451265820714,SR005,SR009
2020-04-10,0.0561387386418503,SR005,SR009
2020-04-13,0.06570418526067631,SR005,SR009
2020-04-14,0.05031564484148464,SR009,SR101
2020-04-15,0.05503689612991623,SR009,SR101
2020-04-16,0.061502297624051884,SR009,SR101
2020-04-17,0.06204740512430237,SR009,SR101
2020-04-20,0.06450622871955485,SR009,SR101
2020-04-21,0.06287567332280469,SR009,SR101
2020-04-22,0.07155163250274707,SR009,SR101
2020-04-23,0.06757704197580001,SR009,SR101
2020-04-24,0.06311008678138189,SR009,SR101
2020-04-27,0.06146496500915842,SR009,SR101
2020-04-28,0.0818003697001084,SR009,SR101
2020-04-29,0.08889539281911335,SR009,SR101
2020-04-30,0.09974565645245807,SR009,SR101
2020-05-06,0.10197218786001684,SR009,SR101
2020-05-07,0.112162596214861,SR009,SR101
2020-05-08,0.12576691915879007,SR009,SR101
2020-05-11,0.11578918793966733,SR009,SR101
2020-05-12,0.09975730182154946,SR009,SR101
2020-05-13,0.0952075857625097,SR009,SR101
2020-05-14,0.09092542174314677,SR009,SR101
2020-05-15,0.0771885741557199,SR009,SR101
2020-05-18,0.08036746829482241,SR009,SR101
2020-05-19,0.10147666708956879,SR009,SR101
2020-05-20,0.10488873218487371,SR009,SR101
2020-05-21,0.1124042129116419,SR009,SR101
2020-05-22,0.09431272703369703,SR009,SR101
2020-05-25,0.1178289100272642,SR009,SR101
2020-05-26,0.11464045205607015,SR009,SR101
2020-05-27,0.10296472094081838,SR009,SR101
2020-05-28,0.11413760224526218,SR009,SR101
2020-05-29,0.10449278854103175,SR009,SR101
2020-06-01,0.09758454700695623,SR009,SR101
2020-06-02,0.08992666721366036,SR009,SR101
2020-06-03,0.11392629616620492,SR009,SR101
2020-06-04,0.10824513923495874,SR009,SR101
2020-06-05,0.10923391114129928,SR009,SR101
2020-06-08,0.09978288693474244,SR009,SR101
2020-06-09,0.10152349013674486,SR009,SR101
2020-06-10,0.0922044237919683,SR009,SR101
2020-06-11,0.09305882068930178,SR009,SR101
2020-06-12,0.09913788838510111,SR009,SR101
2020-06-15,0.09516910771078617,SR009,SR101
2020-06-16,0.10239493093743018,SR009,SR101
2020-06-17,0.10196903223247697,SR009,SR101
2020-06-18,0.10170465502704401,SR009,SR101
2020-06-19,0.09471316088658448,SR009,SR101
2020-06-22,0.09554947766129748,SR009,SR101
2020-06-23,0.10847427209894898,SR009,SR101
2020-06-24,0.11136780674546383,SR009,SR101
2020-06-29,0.10353247955704897,SR009,SR101
2020-06-30,0.11471806467225834,SR009,SR101
2020-07-01,0.11391075012084824,SR009,SR101
2020-07-02,0.11509588397679396,SR009,SR101
2020-07-03,0.13732786242326567,SR009,SR101
2020-07-06,0.1500163136312362,SR009,SR101
2020-07-07,0.15259047166703976,SR009,SR101
2020-07-08,0.17524087612014566,SR009,SR101
2020-07-09,0.1640138052129524,SR009,SR101
2020-07-10,0.15597133104451816,SR009,SR101
2020-07-13,0.15026800298070994,SR009,SR101
2020-07-14,0.16726608507374985,SR009,SR101
2020-07-15,0.15045921651891025,SR009,SR101
2020-07-16,0.14209443577186803,SR009,SR101
2020-07-17,0.11599691255924603,SR009,SR101
2020-07-20,0.12785603526929842,SR009,SR101
2020-07-21,0.12916686971828006,SR009,SR101
2020-07-22,0.10845272335946901,SR009,SR101
2020-07-23,0.10384963700749109,SR009,SR101
2020-07-24,0.09488380949414613,SR009,SR101
